Agent_ID,Gender,Total_Kids,Status,Cause_of_Death,Year_of_Death,Final_Savings,Final_Energy,Unique_Regions_Visited,W0_Energy_Weight,W2_Density_Weight
105,M,0,Dead,Starvation / Exhaustion,5,-9.44,0,2,-0.6094873355850363,2.771273388762497
67,F,4,Dead,Biological Limit (Old Age),26,398.37,40,3,-1.0706534365724443,1.6142210542542683
17,M,6,Dead,Biological Limit (Old Age),25,197.72,30,2,-0.4936426260528539,1.8061863291954852
49,F,1,Dead,Starvation / Exhaustion,4,71.24,0,2,-0.2503708991570473,2.038817810970364
39,M,1,Dead,Socio-Economic Disease Roll,10,73.65,7,3,-0.5123760869613666,2.635841921500824
55,F,0,Dead,Biological Limit (Old Age),25,208.27,90,2,-0.7752146763494899,1.592972091541077
2,M,6,Dead,Biological Limit (Old Age),22,95.8,30,2,-0.5916636213679832,1.7798675379184703
86,F,1,Dead,Starvation / Exhaustion,4,14.3,0,2,-1.0044300415109702,2.545326040179817
224,M,0,Dead,Socio-Economic Disease Roll,30,83.97,90,1,-0.7574832811540072,1.8491135241443994
93,M,1,Dead,Starvation / Exhaustion,4,2.79,0,3,-0.7335216173955517,2.8293132738042766
40,M,1,Dead,Socio-Economic Disease Roll,3,93.05,30,3,-1.0154160101160323,2.9479361061322935
45,F,0,Dead,Socio-Economic Disease Roll,1,35.98179790935352,90,2,-0.45483518375815746,2.7447543511632713
124,F,0,Dead,Socio-Economic Disease Roll,4,44.69,90,1,-0.6974391678425405,2.024785890092773
35,F,0,Dead,Socio-Economic Disease Roll,1,58.778652200910436,90,2,-0.5981428691367063,2.4404303980992204
221,F,0,Dead,Socio-Economic Disease Roll,29,32.6,80,1,-0.6250028063933307,1.682329412563917
77,F,1,Dead,Biological Limit (Old Age),27,474.45,80,2,-0.5764337485265127,1.8603047732052496
29,M,0,Dead,Starvation / Exhaustion,4,56.41,0,3,-0.9458980605658748,2.405523651268002
59,F,0,Dead,Biological Limit (Old Age),28,325.41,90,2,-0.9879297130073159,1.9124427243442281
206,F,0,Dead,Socio-Economic Disease Roll,24,200.05,90,1,-0.7573797433048092,2.0452869004838647
103,M,1,Dead,Starvation / Exhaustion,4,71.07,0,2,-0.5552086148676314,2.606527670991661
12,M,0,Dead,Starvation / Exhaustion,4,31.25,0,3,-0.582105015209577,2.1099150837048133
